English,Portuguese
"Say , Jim , how about going for a few beers after dinner ?","Jim, que tal ir tomar umas cervejas depois do jantar?"
You know that is tempting but is really not good for our fitness .,"Você sabe que é tentador, mas não é realmente bom para a nossa aptidão."
What do you mean ? It will help us to relax .,O que queres dizer? Vai nos ajudar a relaxar.
Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ?,Achas mesmo que sim? Eu não. Vai engordar-nos e agir como parvos. Lembras-te da última vez?
I guess you are right . But what shall we do ? I don't feel like sitting at home .,Acho que tens razão. Mas o que vamos fazer? Não me apetece sentar-me em casa.
I suggest a walk over to the gym where we can play singsong and meet some of our friends .,Sugiro uma caminhada até o ginásio onde podemos jogar canções e conhecer alguns dos nossos amigos.
That's a good idea . I hear Mary and Sally often go there to play pingpong . Perhaps we can make a foursome with them .,É uma boa ideia. Ouvi dizer que a Mary e a Sally freqüentemente vão lá jogar pingpong. Talvez possamos fazer um quarteto com eles.
"Sounds great to me ! If they are willing , we could ask them to go dancing with us . That is excellent exercise and fun , too .","Parece-me óptimo! Se eles estiverem dispostos, nós poderíamos pedir-lhes para ir dançar conosco. Isso é excelente exercício e diversão, também."
Good . Let ' s go now .,Óptimo. Vamos agora.
All right .,Está bem.
Can you do push-ups ?,Podes fazer flexões?
"Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute .","Claro que posso. É um pedaço de bolo! Acredite ou não, posso fazer 30 flexões por minuto."
Really ? I think that's impossible !,A sério? Acho que isso é impossível!
You mean 30 push-ups ?,Queres dizer 30 flexões?
Yeah !,Sim!
"It's easy . If you do exercise everyday , you can make it , too .","É fácil. Se você faz exercício todos os dias, você pode fazê-lo, também."
Can you study with the radio on ?,Podes estudar com o rádio ligado?
"No , I listen to background music .","Não, eu ouço música de fundo."
What is the difference ?,Qual é a diferença?
The radio has too many comerials .,O rádio tem muitos comerials.
"That's true , but then you have to buy a record player .","Isso é verdade, mas então você tem que comprar um toca-discos."
Are you all right ?,Estás bem?
I will be all right soon . I was terrified when I watched them fall from the wire .,Estarei bem em breve. Fiquei aterrorizado quando os vi cair do fio.
Don't worry . He is an acrobat .,Não te preocupes. Ele é um acrobata.
I see .,Estou a ver.
"Hey John , nice skates . Are they new ?","Ei John, skates bonitos. São novos?"
"Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates .","Sim, acabei de apanhá-los. Comecei a jogar hóquei no gelo numa liga comunitária. Então, finalmente consegui novos patins."
What position do you play ?,Em que posição você joga?
I ' m a defender . It ' s a lot of fun . You don ' t have to be able to skate as fast on defense .,Sou um defensor. É muito divertido. Você não tem que ser capaz de patinar tão rápido na defesa.
"Yeah , you ' re a pretty big guy . I play goalie , myself .","Sim, és um tipo muito grande. Eu jogo goleiro, eu mesmo."
"Oh , yeah ? Which team ?",Sim? Que equipa?
The Rockets .,Os Rockets.
"Really ? I think we play you guys next week . Well , I have to go to practice . See you later .","A sério? Acho que vamos jogar com vocês na semana que vem. Bem, eu tenho que ir para o treino. Até logo."
"All right , see you later .","Está bem, até logo."
"Hey Lydia , what are you reading ?","Lydia, o que estás a ler?"
"I ' m looking at my horoscope for this month ! My outlook is very positive . 
It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling !","Estou a olhar para o meu horóscopo para este mês! A minha perspectiva é muito positiva. Diz que eu deveria tirar umas férias para algum lugar exótico, e que eu vou ter uma aventura de verão apaixonado!"
What are you talking about ? Let me see that ... What are horoscopes ?,Do que está a falar? Què sono horoscopis?
"It ' s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ' m an Aries . When were you born ?","É uma previsão do seu mês, com base no seu signo zodíaco. Você tem um sinal diferente para o mês e data em que você nasceu. Nasci em 15 de abril, então sou um Aries. Quando nasceste?"
January 5th .,5 de janeiro.
"Let ' s see . . . you ' re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ' ll both have interesting summers !","Vamos ver. Você é um Capricórnio. Diz que você vai sentir estresse no trabalho, mas você poderia ver novos desenvolvimentos emocionantes em sua vida amorosa. Parece que ambos vamos ter verões interessantes!"
"That ' s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense .","Isso é falso. Eu não sinto nenhum estresse no trabalho, e minha vida amorosa é praticamente inexistente. Esta coisa do zodíaco é um monte de disparates."
"No , it ' s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize .","Não, não é, o seu sinal de astrologia pode dizer-lhe muito sobre a sua personalidade. Vês? Diz que um Aries é energético e ama socializar."
"Well , you certainly match those criteria , but they ' re so broad they could apply to anyone . What does it say about me ?","Bem, você certamente corresponde a esses critérios, mas eles são tão amplos que podem se aplicar a qualquer um. O que diz sobre mim?"
A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you !,Um Capricornio é sério e prático. Ela gosta de fazer as coisas de maneiras convencionais. Isso soa como tu!
"Frank ' s getting married , do you believe this ?","O Frank vai casar-se, acreditas nisto?"
Is he really ?,A sério?
"Yes , he is . He loves the girl very much .","Sim, ele é. Ele ama muito a menina."
Who is he marring ?,Quem é que ele está a casar?
"A girl he met on holiday in Spain , I think .","Uma rapariga que ele conheceu de férias em Espanha, eu acho."
Have they set a date for the wedding ?,Eles estabeleceram uma data para o casamento?
